entity,column,rows,missing,missing_pct
interactions,interaction_id,989494,0,0.0
interactions,external_user_id,989494,0,0.0
interactions,external_item_id,989494,0,0.0
interactions,event_type,989494,0,0.0
interactions,timestamp,989494,0,0.0
interactions,event_timestamp_utc,989494,0,0.0
interactions,interaction_weight,989494,0,0.0
interactions,source_row_id,989494,0,0.0
items,external_item_id,82865,0,0.0
items,title,82865,192,0.231702
items,description,82865,19760,23.846015
items,category,82865,5,0.006034
items,image_reference,82865,0,0.0
items,text_feature_reference,82865,0,0.0
items,image_feature_reference,82865,0,0.0
items,source_metadata,82865,0,0.0
